Ly6C,B220
18171.5,297.346
125.884,4363.15
283.244,5880.06
422.113,6703.35
55.1645,6272.44
74.5799,5310.91
270.584,4637.63
288.111,4832.36
1177.83,6068.26
164.441,120.875
312.115,3042.61
309.126,253.498
372.902,7048.7
234.426,2721.42
4502.72,449.493
204.464,5271.61
15382.7,197.916
172.548,6159.59
310.475,7201.63
163.916,12129.3
141.144,5116.96
245.659,5016.34
305.764,105.676
130.706,5221.63
153.856,3966.82
990.011,17264.6
98.2955,7082.58
158.847,8051.5
231.381,4368
4317.13,203.66
1917.78,6366.41
374.656,7068.02
250.082,5611.08
256.781,7777.03
235.459,1857.97
227.624,1511.83
540.382,5100.03
186.913,3881.49
263.292,7573.1
224.193,5065.44
7942.3,193.34
112.235,6365.27
233.704,75.0872
122.451,8930.32
35155.3,545.366
50.498,5737.51
11174.4,1014.38
32583.7,175.84
162.95,2431.34
316.044,5762.73
29594.4,-97.0963
82560.9,2756.19
194.398,3263.64
211.229,2793.8
10533.4,1316.49
202.137,9365.34
208.557,6939.65
224.594,2418.87
308.261,6761.61
142.013,6203.14
176.39,3778.88
249.207,1175.58
583.244,4850.33
179.905,5285.54
286.213,125.545
19268.2,284.653
859.646,386.713
56.6417,2268.66
8482.53,246.357
259.874,14637.6
21.4161,138.539
152.783,5428.18
644.358,6320.02
276.2,4986.27
32.7781,9767.3
204.169,4585.59
8861.08,150.676
10366.7,18.4026
45.643,6509.63
74.5491,4529.05
137.932,4570.45
12379.8,167.1
103.786,5534.79
193.984,5502.17
248.533,6334.23
13.0287,3702.92
10043.5,133.758
10.8961,2367.85
34563.9,69.2974
2091.1,25.4301
291.144,6414.52
262.238,5481.12
121.62,3316.86
255.573,5120.23
34630.9,366.723
351.805,9415.15
72.2094,8865.78
96.8119,5097.93
168.156,7248.7
227.816,2170.87
36.6455,3287.56
257.953,4863.06
202.271,5277.63
1280.02,394.612
95.649,2882.71
236.268,6896.84
1095.86,281.058
284.295,5407.41
1957.46,5217.44
43.3745,267.049
17809.6,159.286
157.068,6086.79
116.886,3137.2
9498.12,-4.08646
123.595,318.233
3595.35,5148.55
137.848,241.129
192.622,4191.35
418.885,6772.69
5082.43,31.961
255.15,402.991
107.937,69.4428
256.018,4869.85
15469.8,968.67
43.9719,10694.8
571.44,352.313
8113.73,427.938
1127.3,8578.96
407.346,455.125
134.62,10194.3
875.451,189.025
1864.41,213.607
337.884,227.615
107.313,8212.21
496.804,851.485
16232.9,163.891
5182.28,32.4367
373.155,474.084
24587.8,5773.72
43316.9,185.056
3197.9,423.005
51.8438,4870.81
182.873,5531.77
240.839,1630.19
109.933,4720.66
187.182,3330.9
233.969,16624.9
466.668,4828.85
121.7,4412.56
-9.3651,5766.93
27582,130.711
20876.6,1.79808
198.997,6143.85
