Ly6C,B220
1417.19,78385
1803.67,48771.9
122597,3281.8
1046.75,61392.1
63951.6,2280.04
1990.13,55026.4
4145.65,1537.16
19429.6,24822
149.051,48421.6
1663.08,43874
137511,3213.62
649.857,51166.1
281039,7293.49
951.62,67636.6
834.696,70195.1
496.125,31037.2
1209.43,62039.1
5564.62,6796.41
1709.6,49610.8
697.811,54845.6
1443.36,40054.5
636.365,77029.1
149774,3271.11
90743.8,910.21
1846.21,91131.9
86721.8,3112.67
3311.83,67104
1325.77,82306.4
1363.45,19542.9
2789.55,58159.6
3481.81,87797.8
221547,3809.95
8617.41,4786.86
590.2,72968
2569.28,1449.95
111871,1804.97
1011.85,61016.3
82499.8,5375.22
799.545,79629.4
253050,3214.67
140198,3598.84
236466,3754.75
1097.74,2395.94
1378.66,49361
490.465,45622.8
943.637,133310
984.294,85423.1
1370.15,2499.57
1486.88,117758
745.075,44042.2
4222.1,89798.2
726.219,65694.4
1471.17,61276.9
1701.92,34654.2
858.261,61651.9
1409.44,62108.5
1351.42,42898.1
702.019,70129
14352.6,1415.71
686.471,80696.7
1562.34,93952.3
6169.61,5295.98
1900.04,73238.4
11129.7,440.802
2065.42,63734.3
3054.6,82887.8
841.343,66324.6
3562.19,81525.6
4536.85,64583.3
1575.09,62799.1
1026.8,33981.8
1408.07,81856
665.405,48551.9
1907.6,56092.8
406.167,40683.2
1441.49,50673
139684,6188.24
1247.3,73821.9
1402.73,65643
664.938,63980
1184.92,56117.3
71758.6,3336.01
215.789,73488.2
24290.6,20626
710.861,44550.8
983.079,48779.9
1642.75,37163.5
1012.65,79266.5
1915.02,52473.4
1244.57,71928.3
1084.38,55501.5
606.692,2388.69
3249.64,54449
2166.64,9972.11
616.222,42164.3
7725.13,89806.9
1718.69,83287.2
964.497,74235.8
2471.58,99666.8
2578.5,51513
94400.8,1771.96
736.267,74518.2
123707,14749.1
1404.97,50275.9
797.554,52845.6
456.268,94451.3
1659.82,2578.87
881.087,39917.8
1360.68,8045.68
2675.31,58984.7
677.623,81170.5
3248.69,112162
843.863,54328.6
2273.3,52014.8
950.37,53434.9
250637,4364.85
1022.12,69198.5
3809.91,88480.2
1385.63,77411.1
1451.54,3468.71
1342.11,64702.9
1290.83,68352.5
754.908,96474.9
6555.34,3289.83
1245.8,109936
16288.1,11265.3
1425.87,66324.7
1190.41,54374.3
2047.22,17322.1
2195.42,61889.5
826.133,61679.2
4325.15,84743
95146.7,5570.92
2421.7,40921.7
272.006,59822.6
2737.13,22593
170020,4053.09
2576.84,64518.2
1503.39,341.88
215165,6198.33
1125.61,91009.2
2599.02,8965.63
1068.96,73490.7
1784.06,54387.8
89638.5,4297.61
4267.04,76252.5
155589,10050.4
1176.56,63083.8
3023.48,49606.8
1629.87,79365.1
1120.21,93807.2
10711.8,4077.03
183718,4376.89
1486.42,57737.9
1396.6,7598.78
3040.75,71299.3
271543,1940.32
143050,3152.16
1696.83,84894.4
16058.9,5584.43
1428.36,146391
759.204,15653.9
195.662,70603.5
1615.26,76866.4
1599.58,80092.1
41.0914,71045.7
525.172,57892.6
1915.54,7248.65
3076.76,18107.1
1062.87,67323.9
986.654,15265.3
1236.43,60390.9
1539.28,77476.3
4299.97,2360.15
-57.6595,10675.5
49980.4,3570.23
1063.03,76076.1
810.938,75147.4
1441.53,64062.8
242286,7403.65
1481.29,10657.8
543.363,57518.9
1971.84,73790.8
1162.09,45364.5
630.53,991.205
1239.32,62529.1
2623.04,1114.25
220997,3521.45
1457.69,38653.2
7730.3,44726
963.947,3583.78
2204.64,45953.2
1854.59,84388.6
2243.4,56863.1
1162.09,54728.3
1022.19,69917.5
1412.78,94002
97098.8,36365.6
1277.16,52860.2
1604.05,73405.3
20002.8,3843.89
1705.79,100808
1366.4,2001.49
193519,11517.6
5349.86,67969.5
5451.21,6018.67
4330.48,57630.9
22897.3,5777.43
182611,1919.42
2032.67,58618.6
41305.7,14081.1
8083.78,74399.6
1202.1,57626.9
1151.41,73948.9
2349.34,70955.2
825.964,86048.7
210426,10901.8
361.443,140249
870.929,55580
4889.24,88999.7
176073,9783.43
1540.01,9219.25
98901.2,2341.46
41871.5,8802.54
1318.05,39553.7
2335.26,24193.2
1540.53,87472
64472.8,3187.43
1261.45,50846
235452,3921.86
749.005,7051.88
868.655,72136.9
177610,2935.09
73842.2,1425.97
1082.41,73621.1
4883.15,142799
1422.84,77444.3
829.832,72699.4
2484.15,80750.4
559.799,118744
577.876,62266.4
206828,2007.53
10842.9,57052
1443.35,64075.7
103305,2795.44
4847.85,83287.5
4010.46,68027.4
3807.51,6209
2909.71,73216.8
1598.13,70458.5
903.534,34856
112916,3922.11
778.167,59005.1
1763.04,88013.1
17090.8,2692.71
1091.21,66972.2
901.003,30218.4
1442.65,51593.7
870.259,176711
1204.39,47602.4
5931.82,125411
1240.1,111561
737.154,72518.3
3225.62,163374
140805,3168.48
1934.29,81555.5
2883,6383.05
1260.01,41634.4
1372.13,93572.2
1537.11,54369.7
3431.17,67945.1
21872.4,2617.34
1004.66,42235.1
81135.9,3631.37
15900.6,9060.02
1104.34,98889.3
197102,4588.57
2990.32,64420.6
619.004,13034.6
101151,1351.84
3273.9,112723
7376.11,5340.83
1357.6,107875
2819.6,67493.9
6162.65,8482.79
21867.9,102648
2312.24,66483.4
1555,1965.71
1108.73,40650.6
1132.33,94828.8
770.674,49666.5
8284.94,5017.2
985.732,69278.6
1131.7,64730.5
141067,2331.31
5187.67,247252
1062.42,77691
1322.16,115346
73236.9,3095.14
2055.8,29984.1
2734.07,11131.9
125534,6911.61
240496,4496.51
779.714,30676.2
135369,2651.23
5983.5,64603.9
175715,5286.6
2338.29,75532.4
3988.99,77567.4
888.591,32659.6
653.845,81787.6
9234.03,104654
1582.34,81476.5
8433.07,10990
573.347,45967
1400.77,60377.8
1528.27,72291.9
1996.56,8579.56
2279.48,178312
393.657,60750.2
2456.5,94297.6
1674.28,112188
147872,4617.29
2949.68,131281
103508,1665.37
520.883,57119.9
161127,3207.56
1527.29,19220.8
564.108,70072.4
261185,2224
1882.51,99598.8
10216.1,11732.5
974.586,45803
